epoch,eval_acc,eval_auc,eval_auc_attr0_group0,eval_auc_attr0_group1,eval_auc_attr0_group2,eval_auc_attr0_max_group_disparity,eval_auc_attr0_std_group_disparity,eval_auc_attr1_group0,eval_auc_attr1_group1,eval_auc_attr1_max_group_disparity,eval_auc_attr1_std_group_disparity,eval_auc_attr2_group0,eval_auc_attr2_group1,eval_auc_attr2_max_group_disparity,eval_auc_attr2_std_group_disparity,eval_auc_attr3_group0,eval_auc_attr3_group1,eval_auc_attr3_group2,eval_auc_attr3_max_group_disparity,eval_auc_attr3_std_group_disparity,eval_dpd_attr0,eval_dpd_attr1,eval_dpd_attr2,eval_dpd_attr3,eval_eod_attr0,eval_eod_attr1,eval_eod_attr2,eval_eod_attr3,eval_es_acc_attr0,eval_es_acc_attr1,eval_es_acc_attr2,eval_es_acc_attr3,eval_es_auc_attr0,eval_es_auc_attr1,eval_es_auc_attr2,eval_es_auc_attr3,eval_loss,trn_loss
0,0.5128,0.5168,0.5211,0.5971,0.5054,0.1775,0.0775,0.5219,0.5114,0.0204,0.0102,0.5114,0.6109,0.1924,0.0962,0.5146,0.5714,0.47,0.1963,0.0803,0.1301,0.0211,0.0154,0.0192,0.17,0.0454,0.0302,0.0478,0.4416,0.5092,0.4773,0.3721,0.4715,0.5114,0.4701,0.4683,0.7369,0.7618
1,0.517,0.5041,0.5496,0.4411,0.5112,0.2153,0.0892,0.5201,0.4819,0.0758,0.0379,0.5056,0.448,0.1144,0.0572,0.5022,0.4667,0.6425,0.3488,0.1506,0.0762,0.034,0.0304,0.0764,0.0843,0.0565,0.079,0.1848,0.4935,0.5032,0.4735,0.4444,0.4518,0.4855,0.4766,0.428,0.7149,0.7222
2,0.5074,0.5079,0.6042,0.5962,0.4798,0.245,0.112,0.4921,0.5323,0.0791,0.0395,0.5063,0.5622,0.11,0.055,0.5111,0.4952,0.4487,0.1227,0.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.4188,0.4883,0.481,0.4725,0.728,0.7152
3,0.5074,0.5135,0.5409,0.4564,0.5346,0.1647,0.0749,0.5353,0.4814,0.1049,0.0524,0.5139,0.586,0.1403,0.0701,0.5136,0.6381,0.64,0.2461,0.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.4645,0.4873,0.4786,0.4104,0.7434,0.7192
4,0.5043,0.5194,0.4665,0.461,0.5265,0.1262,0.0571,0.5062,0.541,0.067,0.0335,0.5193,0.5385,0.0369,0.0185,0.5204,0.581,0.4175,0.3147,0.1299,0.0041,0.0067,0.0099,0.0328,0.0235,0.0185,0.0293,0.1,0.3984,0.4982,0.4627,0.3391,0.4644,0.502,0.5096,0.4461,0.6931,0.7208
5,0.5074,0.4894,0.5509,0.4593,0.5017,0.1871,0.0765,0.5053,0.4639,0.0846,0.0423,0.4943,0.4321,0.127,0.0635,0.5054,0.3429,0.45,0.3321,0.1379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.4434,0.47,0.4608,0.4072,0.7193,0.7224
6,0.4926,0.4897,0.5273,0.4718,0.5153,0.1134,0.0487,0.5062,0.4652,0.0838,0.0419,0.494,0.4231,0.1448,0.0724,0.4944,0.5333,0.6,0.2157,0.0891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928,0.481,0.4408,0.3242,0.4529,0.4704,0.4572,0.4226,0.8114,0.7286
7,0.4926,0.5592,0.5236,0.6128,0.5445,0.1596,0.0682,0.5625,0.5583,0.0075,0.0038,0.5564,0.595,0.0691,0.0345,0.5606,0.4286,0.485,0.2361,0.0967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928,0.481,0.4408,0.3242,0.5065,0.5569,0.5384,0.4636,0.7008,0.7164
8,0.5074,0.5105,0.4578,0.5626,0.489,0.2053,0.0861,0.5059,0.5205,0.0285,0.0143,0.5044,0.6222,0.2306,0.1153,0.5106,0.5143,0.3575,0.3071,0.1431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.4533,0.5032,0.4568,0.4413,0.6931,0.7208
9,0.4926,0.45,0.5292,0.4173,0.4644,0.2486,0.1019,0.4761,0.4134,0.1395,0.0697,0.4555,0.3552,0.2229,0.1114,0.4536,0.4,0.6125,0.4722,0.2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928,0.481,0.4408,0.3242,0.3995,0.4234,0.409,0.37,0.6948,0.7173
10,0.5074,0.5042,0.4975,0.4659,0.5228,0.113,0.0462,0.474,0.5447,0.1402,0.0701,0.507,0.4717,0.07,0.035,0.5094,0.481,0.535,0.1072,0.0438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.474,0.4709,0.487,0.476,0.6936,0.7146
